show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s95,Movie,Starfall II,Greta Gerwig,"Adam Driver, Jennifer Lawrence, Song Kang-ho",Germany,"April 19, 2018",1993,TV-MA,155 min,"Horror Movies, Thrillers","After a sudden revelation, a rebel leader in rural France is forced to confront a dangerous enemy and risk everything for freedom. A gripping exploration of redemption."
s96,Movie,Last Stand,Kelly Reichardt,"Leonardo DiCaprio, Julianne Moore, Adam Driver",Turkey,"November 10, 2017",1995,TV-MA,153 min,"Children & Family Movies, Comedies","When a sudden revelation shakes the foundations of their life, a rookie cop in Tokyo discovers that everything goes wrong. A darkly comic journey of justice and courage."
s97,Movie,Red Line,Kathryn Bigelow,"Anthony Mackie, Zendaya, Amy Adams",South Korea,"June 4, 2019",2019,TV-MA,152 min,"Horror Movies, Thrillers","In the heart of rural France, a rogue agent uncovers a dangerous secret that pulls them into a world of espionage. A thought-provoking tale of identity and redemption."
s98,Movie,Fault Lines,Greta Gerwig,"Julianne Moore, Robert De Niro, Daniel Kaluuya",Japan,"November 20, 2020",2017,PG-13,135 min,"Romantic Movies, Dramas","A darkly comic story set in war-torn Beirut, following a detective whose life is upended by a catastrophic accident. When everything goes wrong, they must find the strength to fight for survival."
s99,Movie,The Wanderer,Spike Lee,"Margot Robbie, Aamir Khan, Anthony Mackie",Turkey,"November 9, 2019",2005,NR,77 min,"Crime Movies, Thrillers","Set against the vivid backdrop of war-torn Beirut, this heart-wrenching drama follows a con artist grappling with identity and an unrelenting search for their family."
s100,Movie,Collision Course : Rising,Hirokazu Kore-eda,"Natalie Portman, Aamir Khan, Lee Byung-hun",Mexico,"October 24, 2019",2016,TV-MA,159 min,"Dramas, International Movies","In the heart of a remote island, a surgeon uncovers a dangerous secret that pulls them into a world of corporate greed. A visually stunning tale of betrayal and betrayal."
s101,Movie,Dust to Dust Reborn,Bong Joon-ho,"Anthony Mackie, John David Washington, Cate Blanchett",Germany,"June 6, 2023",2023,G,126 min,Documentaries,"Told across sweeping landscapes of 1970s New York, this thought-provoking saga tracks a surgeon through loss, loyalty, and an unexpected battle for their family."
s102,Movie,Point of No Return Unleashed,Sofia Coppola,"Denzel Washington, Daniel Kaluuya, Leonardo DiCaprio",France,"December 1, 2018",1994,R,75 min,"Documentaries, International Movies","In the heart of rural France, a former soldier uncovers a dangerous secret that pulls them into a world of corporate greed. A darkly comic tale of love and revenge."
s103,Movie,The Witness,Paul Thomas Anderson,"Tom Hanks, Lee Byung-hun, Meryl Streep",France,"June 21, 2017",2001,R,138 min,"Anime Features, Action & Adventure",A rebel leader navigates the dangerous underbelly of futuristic Mumbai in this darkly comic thriller where old enemies resurface and survival demands everything.
s104,Movie,Edge of Tomorrow,Greta Gerwig,"Gemma Chan, Leonardo DiCaprio, John David Washington",Mexico,"February 25, 2017",2016,G,148 min,"Sci-Fi & Fantasy, Thrillers","When a devastating loss shakes the foundations of their life, a exiled prince in Tokyo discovers that betrayal strikes from within. A critically acclaimed journey of loyalty and sanity."
s105,Movie,Under Pressure,Jordan Peele,"Shah Rukh Khan, Zazie Beetz, Idris Elba",Spain,"April 10, 2023",2010,TV-MA,143 min,"Classic Movies, Dramas","After a shocking murder, a unlikely hero in Tokyo is forced to confront a dangerous enemy and risk everything for their family. A pulse-pounding exploration of revenge."
s106,Movie,Neon Dreams Reborn,Chloe Zhao,"Idris Elba, Lupita Nyong'o, Song Kang-ho",India,"July 23, 2020",1999,R,108 min,"Anime Features, Action & Adventure","Set against the vivid backdrop of Tokyo, this darkly comic drama follows a rookie cop grappling with revenge and an unrelenting search for the truth."
s107,Movie,Burning Bridges Uncut,David Fincher,"Denzel Washington, Samuel L. Jackson, Lee Byung-hun",Mexico,"June 28, 2017",2002,PG-13,76 min,"Classic Movies, Comedies",A rebel leader navigates the dangerous underbelly of futuristic Mumbai in this critically acclaimed thriller where everything goes wrong and survival demands everything.
s108,Movie,The Phantom,Barry Jenkins,"Chris Pratt, Zendaya, Awkwafina",Brazil,"August 25, 2018",2003,PG,120 min,"Comedies, Dramas","After a shocking murder, a unlikely hero in war-torn Beirut is forced to confront an unstoppable force and risk everything for freedom. A visually stunning exploration of justice."
s109,Movie,The Summit,Agnès Varda,"Riz Ahmed, Park Bo-gum, Adam Driver",France,"January 14, 2021",2004,G,88 min,Documentaries,"Told across sweeping landscapes of the Arctic, this critically acclaimed saga tracks a young woman through loss, revenge, and an unexpected battle for the truth."
s110,Movie,The Operator,Kelly Reichardt,"Awkwafina, Ana de Armas, Julianne Moore",Turkey,"August 27, 2022",2021,PG,128 min,"LGBTQ Movies, Dramas",A rebel leader navigates the dangerous underbelly of Tokyo in this gripping thriller where old enemies resurface and survival demands everything.
s111,Movie,Paper Tigers Uncut,Wong Kar-wai,"Shah Rukh Khan, Ana de Armas, Meryl Streep",United States,"January 5, 2018",2022,PG-13,128 min,"LGBTQ Movies, Dramas","Told across sweeping landscapes of 1970s New York, this gripping saga tracks a surgeon through loss, loyalty, and an unexpected battle for survival."
s112,Movie,The Grand Illusion : Legacy,Quentin Tarantino,"Amy Adams, Margot Robbie, Viola Davis",Japan,"February 6, 2017",2023,PG,89 min,"Horror Movies, International Movies","Set against the vivid backdrop of small-town America, this critically acclaimed drama follows a teacher grappling with survival and an unrelenting search for justice."
s113,Movie,Broken Compass III,Akira Kurosawa,"Florence Pugh, Deepika Padukone, Jennifer Lawrence",Mexico,"July 13, 2021",2020,NR,77 min,"Horror Movies, Thrillers",A rookie cop navigates the dangerous underbelly of futuristic Mumbai in this gripping thriller where loyalties are tested and survival demands everything.
s114,Movie,City of Shadows Uncut,Jordan Peele,"Lee Byung-hun, Song Kang-ho, Margot Robbie",Turkey,"September 9, 2021",1992,PG-13,92 min,"Dramas, International Movies","When a devastating loss shakes the foundations of their life, a unlikely hero in rural France discovers that the stakes become personal. A critically acclaimed journey of revenge and humanity."
s115,Movie,The Hollow Man,Mike Leigh,"Gemma Chan, Margot Robbie, Gong Yoo",Japan,"June 24, 2017",1996,PG,125 min,"Action & Adventure, Thrillers",A rebel leader navigates the dangerous underbelly of war-torn Beirut in this thought-provoking thriller where loyalties are tested and survival demands everything.
s116,Movie,Burning Season,Jordan Peele,"Chris Pratt, Song Kang-ho, Priyanka Chopra",India,"February 13, 2023",2008,NR,101 min,"Classic Movies, Comedies","In the heart of the Arctic, a journalist uncovers a dangerous secret that pulls them into a world of crime. A visually stunning tale of betrayal and betrayal."
s117,Movie,Zero Hour,Ava DuVernay,"Viola Davis, Oscar Isaac, Steven Yeun",United Kingdom,"March 3, 2020",2018,TV-MA,141 min,Stand-Up Comedy,"When a devastating loss shakes the foundations of their life, a single father in the Arctic discovers that old enemies resurface. A darkly comic journey of loyalty and courage."
s118,Movie,River Deep,Akira Kurosawa,"Tilda Swinton, Denzel Washington, Morgan Freeman",Spain,"March 17, 2022",2014,PG,91 min,"Sci-Fi & Fantasy, Action & Adventure","When a catastrophic accident shakes the foundations of their life, a journalist in war-torn Beirut discovers that betrayal strikes from within. A thought-provoking journey of betrayal and identity."
s119,Movie,The Final Cut,Mike Leigh,"Chris Pratt, Jennifer Lawrence, John David Washington",Japan,"August 7, 2017",1998,G,108 min,"Documentaries, International Movies","Set against the vivid backdrop of small-town America, this pulse-pounding drama follows a grieving mother grappling with identity and an unrelenting search for the truth."
s120,Movie,The Verdict,James Cameron,"Saoirse Ronan, Charlize Theron, Ali Wong",South Korea,"May 11, 2022",2021,PG,143 min,"Faith & Spirituality, Dramas","In the heart of rural France, a surgeon uncovers a dangerous secret that pulls them into a world of supernatural mystery. A gripping tale of justice and survival."
s121,Movie,Dark Passage III,David Lynch,"Gemma Chan, Daniel Kaluuya, Riz Ahmed",Spain,"May 21, 2018",2006,PG,154 min,"LGBTQ Movies, Dramas",A surgeon navigates the dangerous underbelly of 1970s New York in this gripping thriller where betrayal strikes from within and survival demands everything.
s122,Movie,The Reckoning,Steven Soderbergh,"Idris Elba, Anthony Mackie, Jun Ji-hyun",Canada,"January 20, 2021",2015,R,112 min,"LGBTQ Movies, Dramas","In the heart of small-town America, a single father uncovers a dangerous secret that pulls them into a world of corporate greed. A critically acclaimed tale of justice and love."
s123,Movie,The Dark Meridian,Kelly Reichardt,"Tilda Swinton, Oscar Isaac, Lupita Nyong'o",Japan,"January 12, 2020",1996,R,107 min,"Anime Features, Action & Adventure","A thought-provoking story set in modern Seoul, following a con artist whose life is upended by a shocking murder. When old enemies resurface, they must find the strength to fight for their family."
s124,Movie,The Reckoning : Origins,Lynne Ramsay,"Natalie Portman, Zazie Beetz, Julianne Moore",Canada,"January 10, 2023",1997,PG-13,72 min,"Children & Family Movies, Comedies","Set against the vivid backdrop of futuristic Mumbai, this darkly comic drama follows a rogue agent grappling with justice and an unrelenting search for survival."
s125,Movie,Shifting Tides,Yorgos Lanthimos,"Emma Stone, Amy Adams, Lee Byung-hun",Australia,"December 1, 2021",2002,TV-MA,127 min,"Dramas, International Movies","When a mysterious disappearance shakes the foundations of their life, a single father in Los Angeles discovers that old enemies resurface. A pulse-pounding journey of love and courage."
s126,Movie,Fire and Ash,Park Chan-wook,"Dev Patel, Julianne Moore, Aamir Khan",Australia,"June 21, 2021",2014,R,148 min,"Classic Movies, Dramas",A rookie cop navigates the dangerous underbelly of small-town America in this heart-wrenching thriller where betrayal strikes from within and survival demands everything.
s127,Movie,Fog of War,Akira Kurosawa,"Priyanka Chopra, Awkwafina, Amitabh Bachchan",Turkey,"September 5, 2020",2016,PG,146 min,"Thrillers, International Movies","Told across sweeping landscapes of rural France, this pulse-pounding saga tracks a rookie cop through loss, justice, and an unexpected battle for redemption."
s128,Movie,The Runaway,Akira Kurosawa,"Adam Driver, Aamir Khan, Ana de Armas",Spain,"January 12, 2020",1998,R,94 min,"Crime Movies, Thrillers","In the heart of a remote island, a grieving mother uncovers a dangerous secret that pulls them into a world of political intrigue. A thought-provoking tale of redemption and betrayal."
s129,Movie,The Mechanic,Denis Villeneuve,"Ali Wong, Charlize Theron, Amy Adams",Italy,"May 18, 2018",2019,NR,142 min,"LGBTQ Movies, Dramas","Told across sweeping landscapes of the Arctic, this gripping saga tracks a grieving mother through loss, justice, and an unexpected battle for freedom."
s130,Movie,The Wanderer : Rising,Guillermo del Toro,"Jun Ji-hyun, Riz Ahmed, Amitabh Bachchan",Japan,"August 2, 2019",2012,R,81 min,"Crime Movies, Thrillers","When a mysterious disappearance shakes the foundations of their life, a single father in 1970s New York discovers that the truth comes to light. A pulse-pounding journey of redemption and sanity."
s131,Movie,River Deep Unleashed,Darren Aronofsky,"Brad Pitt, Robert De Niro, Lee Byung-hun",Italy,"March 18, 2019",2008,TV-MA,107 min,"Documentaries, International Movies","Set against the vivid backdrop of Tokyo, this emotionally charged drama follows a rookie cop grappling with redemption and an unrelenting search for freedom."
s132,Movie,Burning Bridges,Ken Loach,"Gong Yoo, Viola Davis, Margot Robbie",Canada,"October 5, 2022",2007,R,150 min,"Classic Movies, Comedies",A unlikely hero navigates the dangerous underbelly of the Arctic in this thought-provoking thriller where the truth comes to light and survival demands everything.
s133,Movie,Sacred Ground : Rising,Akira Kurosawa,"Amy Adams, Ryan Gosling, Michael Fassbender",Japan,"December 22, 2019",1994,R,138 min,"LGBTQ Movies, Dramas","Told across sweeping landscapes of rural France, this thought-provoking saga tracks a single father through loss, love, and an unexpected battle for justice."
s134,Movie,Shifting Sands : Legacy,Spike Lee,"Amy Adams, Viola Davis, Deepika Padukone",Japan,"August 6, 2020",1990,PG,124 min,"Sci-Fi & Fantasy, Action & Adventure",A scientist navigates the dangerous underbelly of the Arctic in this pulse-pounding thriller where everything goes wrong and survival demands everything.
s135,Movie,The Hollow Man,Paul Thomas Anderson,"Zazie Beetz, Aamir Khan, John David Washington",United States,"December 3, 2017",1990,R,97 min,"Action & Adventure, Thrillers","A heart-wrenching story set in the Arctic, following a exiled prince whose life is upended by a devastating loss. When the truth comes to light, they must find the strength to fight for justice."
s136,Movie,Snowfall,Werner Herzog,"Tom Hanks, Dev Patel, Deepika Padukone",India,"June 11, 2019",1998,PG,118 min,"Anime Features, Action & Adventure",A rogue agent navigates the dangerous underbelly of modern Seoul in this pulse-pounding thriller where the truth comes to light and survival demands everything.
s137,Movie,The Long Game : Rising,François Truffaut,"Gemma Chan, Park Bo-gum, Michael Fassbender",Italy,"June 13, 2020",2010,PG,87 min,"Crime Movies, Thrillers","A critically acclaimed story set in war-torn Beirut, following a detective whose life is upended by a catastrophic accident. When the stakes become personal, they must find the strength to fight for their family."
s138,Movie,The Midnight Sun : Origins,Steven Spielberg,"Ali Wong, Adam Driver, Saoirse Ronan",Canada,"August 8, 2022",1994,G,137 min,"Sci-Fi & Fantasy, Thrillers","When a shocking murder shakes the foundations of their life, a former soldier in a remote island discovers that everything goes wrong. A heart-wrenching journey of loyalty and humanity."
s139,Movie,Dead Weight,Jean-Luc Godard,"Awkwafina, Dev Patel, Tilda Swinton",France,"November 10, 2022",2022,R,123 min,"Dramas, International Movies","After a devastating loss, a unlikely hero in Los Angeles is forced to confront a dangerous enemy and risk everything for survival. A critically acclaimed exploration of redemption."
s140,Movie,Fault Lines III,Park Chan-wook,"Dev Patel, Gemma Chan, Cate Blanchett",France,"July 23, 2022",2005,PG,77 min,"Sci-Fi & Fantasy, Thrillers","When a sudden revelation shakes the foundations of their life, a exiled prince in rural France discovers that the truth comes to light. A heart-wrenching journey of loyalty and humanity."
s141,Movie,River Deep III,Ava DuVernay,"Jennifer Lawrence, Florence Pugh, Amy Adams",Canada,"December 26, 2019",2000,PG,117 min,"Dramas, International Movies","After an unexpected reunion, a unlikely hero in small-town America is forced to confront a shadowy organization and risk everything for redemption. A heart-wrenching exploration of justice."
s142,Movie,Fire and Ash,Ingmar Bergman,"Tom Hanks, Leonardo DiCaprio, Natalie Portman",United States,"May 6, 2023",1996,NR,143 min,"Music & Musicals, Dramas","After an unexpected reunion, a rogue agent in 1970s New York is forced to confront a dangerous enemy and risk everything for their family. A pulse-pounding exploration of redemption."
s143,Movie,The Quiet Storm,Darren Aronofsky,"Cate Blanchett, Julianne Moore, Idris Elba",Italy,"July 8, 2022",2010,G,104 min,"Sports Movies, Dramas","After a catastrophic accident, a detective in 1970s New York is forced to confront their own demons and risk everything for their family. A heart-wrenching exploration of justice."
s144,Movie,The Turning Point,Akira Kurosawa,"Gong Yoo, Samuel L. Jackson, Park Bo-gum",Turkey,"May 7, 2021",2009,PG,149 min,"LGBTQ Movies, Dramas","After a shocking murder, a con artist in modern Seoul is forced to confront an unstoppable force and risk everything for survival. A pulse-pounding exploration of loyalty."
s145,Movie,The Witness Returns,Akira Kurosawa,"Cate Blanchett, Tilda Swinton, Song Kang-ho",France,"November 1, 2020",2009,PG,83 min,"Dramas, International Movies",A detective navigates the dangerous underbelly of modern Seoul in this darkly comic thriller where the truth comes to light and survival demands everything.
s146,Movie,Shifting Sands,Steven Soderbergh,"Ryan Gosling, Margot Robbie, Amitabh Bachchan",Nigeria,"July 27, 2017",1993,NR,125 min,"Classic Movies, Comedies","A thought-provoking story set in the Arctic, following a rogue agent whose life is upended by a shocking murder. When betrayal strikes from within, they must find the strength to fight for justice."
s147,Movie,The Negotiator,Guillermo del Toro,"John David Washington, Lupita Nyong'o, Zendaya",France,"August 6, 2020",2010,G,122 min,"Horror Movies, Thrillers","Set against the vivid backdrop of rural France, this emotionally charged drama follows a scientist grappling with loyalty and an unrelenting search for freedom."
s148,Movie,Red Signal Reborn,François Truffaut,"Jun Ji-hyun, Steven Yeun, Natalie Portman",United Kingdom,"January 17, 2022",2009,PG,103 min,"Anime Features, Action & Adventure","When a mysterious disappearance shakes the foundations of their life, a scientist in rural France discovers that betrayal strikes from within. A heart-wrenching journey of loyalty and humanity."
s149,Movie,Broken Wings Reborn,Kathryn Bigelow,"Viola Davis, Jennifer Lawrence, Charlize Theron",United States,"May 19, 2023",1994,G,72 min,"Anime Features, Action & Adventure","In the heart of rural France, a detective uncovers a dangerous secret that pulls them into a world of political intrigue. A darkly comic tale of revenge and justice."
s150,Movie,Second Chance Reborn,Peter Jackson,"Steven Yeun, Daniel Kaluuya, Cate Blanchett",United Kingdom,"May 6, 2019",2018,G,89 min,"Sci-Fi & Fantasy, Action & Adventure","Set against the vivid backdrop of rural France, this darkly comic drama follows a journalist grappling with survival and an unrelenting search for survival."
s151,Movie,Killing Time,Ridley Scott,"Gemma Chan, Idris Elba, Meryl Streep",Turkey,"August 18, 2019",2022,R,111 min,"Action & Adventure, Comedies","When a mysterious disappearance shakes the foundations of their life, a unlikely hero in Tokyo discovers that the truth comes to light. A thought-provoking journey of love and humanity."
s152,Movie,The Operator : Origins,Wes Anderson,"Natalie Portman, Riz Ahmed, Ryan Gosling",Italy,"December 27, 2017",2004,R,143 min,"Classic Movies, Comedies","Set against the vivid backdrop of the Arctic, this gripping drama follows a exiled prince grappling with love and an unrelenting search for the truth."
s153,Movie,The Forgotten Path,James Wan,"Jennifer Lawrence, Dev Patel, Samuel L. Jackson",Italy,"February 2, 2017",2004,PG,147 min,Documentaries,"Told across sweeping landscapes of rural France, this visually stunning saga tracks a rogue agent through loss, loyalty, and an unexpected battle for justice."
s154,Movie,Rogue Wave,Kathryn Bigelow,"Morgan Freeman, Park Bo-gum, Florence Pugh",Italy,"February 12, 2019",2015,G,145 min,"Thrillers, International Movies","In the heart of the Arctic, a teacher uncovers a dangerous secret that pulls them into a world of political intrigue. A pulse-pounding tale of love and survival."
s155,Movie,The Fugitive Uncut,Paul Thomas Anderson,"Priyanka Chopra, Ali Wong, Brad Pitt",Turkey,"December 6, 2017",2015,G,142 min,"Music & Musicals, Dramas","Set against the vivid backdrop of the Arctic, this heart-wrenching drama follows a former soldier grappling with survival and an unrelenting search for survival."
s156,Movie,Into the Void,Greta Gerwig,"Park Bo-gum, Tom Hanks, Cate Blanchett",Spain,"May 1, 2018",2005,G,158 min,"Anime Features, Action & Adventure","Told across sweeping landscapes of 1970s New York, this pulse-pounding saga tracks a exiled prince through loss, revenge, and an unexpected battle for justice."
s157,Movie,Burning Season II,Barry Jenkins,"Meryl Streep, Ryan Gosling, Joaquin Phoenix",United Kingdom,"October 28, 2022",2004,R,90 min,"Dramas, International Movies",A rogue agent navigates the dangerous underbelly of rural France in this darkly comic thriller where the truth comes to light and survival demands everything.
s158,Movie,Crossroads,Martin Scorsese,"Emma Stone, Samuel L. Jackson, Adam Driver",Australia,"July 1, 2022",2000,R,147 min,"LGBTQ Movies, Dramas","Told across sweeping landscapes of futuristic Mumbai, this emotionally charged saga tracks a exiled prince through loss, identity, and an unexpected battle for redemption."
s159,Movie,Fault Lines,Lars von Trier,"Priyanka Chopra, Gemma Chan, Daniel Kaluuya",South Korea,"March 16, 2017",2013,R,70 min,"Horror Movies, Thrillers",A detective navigates the dangerous underbelly of modern Seoul in this pulse-pounding thriller where the truth comes to light and survival demands everything.
s160,Movie,The Underbelly,David Lynch,"Leonardo DiCaprio, Joaquin Phoenix, John David Washington",Germany,"February 9, 2022",2014,PG-13,93 min,"Sci-Fi & Fantasy, Action & Adventure","In the heart of war-torn Beirut, a young woman uncovers a dangerous secret that pulls them into a world of corporate greed. A gripping tale of redemption and betrayal."
s161,Movie,The Negotiator Reborn,Werner Herzog,"Natalie Portman, Daniel Kaluuya, Lupita Nyong'o",United Kingdom,"January 18, 2023",2014,R,136 min,"Horror Movies, International Movies","Set against the vivid backdrop of Tokyo, this pulse-pounding drama follows a rookie cop grappling with betrayal and an unrelenting search for freedom."
s162,Movie,The Summit,Kelly Reichardt,"Denzel Washington, Viola Davis, Chris Pratt",Canada,"November 3, 2020",2002,PG,150 min,"Horror Movies, International Movies","Set against the vivid backdrop of the Arctic, this emotionally charged drama follows a surgeon grappling with justice and an unrelenting search for their family."
s163,Movie,The Outsider Unleashed,Quentin Tarantino,"Adam Driver, Joaquin Phoenix, Chris Pratt",Brazil,"March 5, 2021",1996,TV-MA,83 min,"Music & Musicals, Dramas","A thought-provoking story set in small-town America, following a single father whose life is upended by a catastrophic accident. When old enemies resurface, they must find the strength to fight for redemption."
s164,Movie,The Inside Man 2,Ava DuVernay,"Jennifer Lawrence, Lupita Nyong'o, Amy Adams",Nigeria,"June 13, 2022",2005,NR,76 min,"Music & Musicals, Dramas","When a sudden revelation shakes the foundations of their life, a grieving mother in Los Angeles discovers that old enemies resurface. A critically acclaimed journey of redemption and resilience."
s165,Movie,The Hit List 2,Sofia Coppola,"Anthony Mackie, Morgan Freeman, Denzel Washington",France,"February 21, 2018",2018,R,97 min,"Crime Movies, Thrillers","A pulse-pounding story set in 1970s New York, following a surgeon whose life is upended by a mysterious disappearance. When betrayal strikes from within, they must find the strength to fight for justice."
s166,Movie,End Game,Denis Villeneuve,"Aamir Khan, Meryl Streep, Natalie Portman",Japan,"December 12, 2018",2007,R,117 min,"Music & Musicals, Dramas","After a catastrophic accident, a single father in a remote island is forced to confront a dangerous enemy and risk everything for survival. A pulse-pounding exploration of justice."
s167,Movie,The Iron Fist : Rising,Ryan Coogler,"Deepika Padukone, Adam Driver, Anthony Mackie",United States,"July 1, 2017",2000,PG,143 min,"Action & Adventure, Comedies",A con artist navigates the dangerous underbelly of Tokyo in this thought-provoking thriller where the truth comes to light and survival demands everything.
s168,Movie,Long Shot,Park Chan-wook,"Lupita Nyong'o, Aamir Khan, Zazie Beetz",Nigeria,"November 23, 2019",2017,PG-13,118 min,Stand-Up Comedy,A journalist navigates the dangerous underbelly of small-town America in this heart-wrenching thriller where the stakes become personal and survival demands everything.
s169,Movie,The Verdict : Legacy,Pedro Almodóvar,"Song Kang-ho, Deepika Padukone, Lupita Nyong'o",South Korea,"August 4, 2017",2011,NR,105 min,Documentaries,"After a sudden revelation, a surgeon in modern Seoul is forced to confront a ruthless crime lord and risk everything for survival. A gripping exploration of revenge."
s170,Movie,Shadow Play,Yorgos Lanthimos,"Idris Elba, Aamir Khan, Awkwafina",Brazil,"July 9, 2020",2014,TV-MA,74 min,"Music & Musicals, Dramas",A rookie cop navigates the dangerous underbelly of the Arctic in this emotionally charged thriller where the truth comes to light and survival demands everything.
s171,Movie,Fault Lines,Paul Thomas Anderson,"Jun Ji-hyun, Lupita Nyong'o, Adam Driver",Italy,"September 26, 2023",2001,PG-13,157 min,"Independent Movies, Dramas","A emotionally charged story set in war-torn Beirut, following a rogue agent whose life is upended by a devastating loss. When the truth comes to light, they must find the strength to fight for redemption."
s172,Movie,The Witness,Sofia Coppola,"Tilda Swinton, Robert De Niro, Samuel L. Jackson",Japan,"April 16, 2021",1997,R,157 min,"Documentaries, International Movies",A single father navigates the dangerous underbelly of a remote island in this pulse-pounding thriller where old enemies resurface and survival demands everything.
s173,Movie,Crossroads,Hirokazu Kore-eda,"Gong Yoo, Viola Davis, Robert De Niro",Mexico,"January 2, 2020",2007,PG,96 min,"Documentaries, International Movies","A darkly comic story set in 1970s New York, following a rebel leader whose life is upended by a devastating loss. When the truth comes to light, they must find the strength to fight for freedom."
s174,Movie,Dark Waters,Quentin Tarantino,"Lupita Nyong'o, Robert De Niro, Brad Pitt",Spain,"September 11, 2018",1991,G,156 min,"Sports Movies, Dramas","When a catastrophic accident shakes the foundations of their life, a single father in war-torn Beirut discovers that everything goes wrong. A pulse-pounding journey of betrayal and faith."
s175,Movie,Cold Case : Origins,James Cameron,"Meryl Streep, Idris Elba, Park Bo-gum",India,"July 11, 2022",1998,R,113 min,"Action & Adventure, International Movies","Told across sweeping landscapes of Tokyo, this pulse-pounding saga tracks a exiled prince through loss, betrayal, and an unexpected battle for survival."
s176,Movie,The Forgotten Path,Denis Villeneuve,"Adam Driver, John David Washington, Chris Pratt",United Kingdom,"October 18, 2017",1993,G,154 min,"LGBTQ Movies, Dramas","After a catastrophic accident, a unlikely hero in a remote island is forced to confront a ruthless crime lord and risk everything for survival. A pulse-pounding exploration of survival."
s177,Movie,Double Cross III,Barry Jenkins,"Charlize Theron, Brad Pitt, Ana de Armas",South Korea,"October 20, 2022",1998,G,123 min,Stand-Up Comedy,A young woman navigates the dangerous underbelly of war-torn Beirut in this critically acclaimed thriller where betrayal strikes from within and survival demands everything.
s178,Movie,Fault Lines Uncut,Lars von Trier,"Ana de Armas, Tilda Swinton, Viola Davis",Italy,"June 16, 2018",1990,NR,71 min,"Sports Movies, Dramas","Told across sweeping landscapes of Los Angeles, this emotionally charged saga tracks a scientist through loss, survival, and an unexpected battle for justice."
s179,Movie,Fire and Ash,Hirokazu Kore-eda,"Leonardo DiCaprio, Tom Hanks, Robert De Niro",Brazil,"May 2, 2019",2010,NR,124 min,"Thrillers, International Movies","Set against the vivid backdrop of the Arctic, this visually stunning drama follows a former soldier grappling with justice and an unrelenting search for freedom."
s180,Movie,Smoke Signal : Origins,Denis Villeneuve,"Robert De Niro, Amitabh Bachchan, Park Bo-gum",United States,"August 13, 2019",2014,R,158 min,"Children & Family Movies, Comedies","Set against the vivid backdrop of 1970s New York, this thought-provoking drama follows a scientist grappling with justice and an unrelenting search for justice."
s181,Movie,The Summit II,Yorgos Lanthimos,"Aamir Khan, Zazie Beetz, Gong Yoo",Australia,"February 16, 2020",2018,G,75 min,"Faith & Spirituality, Dramas",A exiled prince navigates the dangerous underbelly of small-town America in this critically acclaimed thriller where the stakes become personal and survival demands everything.
s182,Movie,Echo Chamber,Spike Lee,"Anthony Mackie, Daniel Kaluuya, Ana de Armas",Nigeria,"November 22, 2020",1999,TV-MA,141 min,"Children & Family Movies, Comedies","Set against the vivid backdrop of a remote island, this visually stunning drama follows a scientist grappling with survival and an unrelenting search for redemption."
s183,Movie,Breaking Point,Akira Kurosawa,"John David Washington, Ryan Gosling, Charlize Theron",Germany,"April 27, 2017",2019,TV-MA,126 min,"Classic Movies, Comedies","When a shocking murder shakes the foundations of their life, a rebel leader in Tokyo discovers that loyalties are tested. A heart-wrenching journey of revenge and sanity."
s184,Movie,Desperate Measures 2,Sofia Coppola,"Idris Elba, Zendaya, Jennifer Lawrence",Canada,"May 21, 2021",2003,NR,153 min,"Action & Adventure, Comedies","After a shocking murder, a single father in small-town America is forced to confront a corrupt official and risk everything for justice. A thought-provoking exploration of love."
s185,Movie,The Quiet Storm II,Spike Lee,"Ana de Armas, Robert De Niro, Song Kang-ho",Australia,"November 27, 2023",2008,TV-MA,140 min,"Classic Movies, Comedies","A emotionally charged story set in Los Angeles, following a journalist whose life is upended by a shocking murder. When old enemies resurface, they must find the strength to fight for freedom."
s186,Movie,End Game,Akira Kurosawa,"Tom Hanks, Zazie Beetz, Jun Ji-hyun",United States,"July 25, 2017",1997,R,127 min,"LGBTQ Movies, Dramas","When a sudden revelation shakes the foundations of their life, a rookie cop in 1970s New York discovers that betrayal strikes from within. A thought-provoking journey of redemption and courage."
s187,Movie,Dark Waters,Martin Scorsese,"Michael Fassbender, John David Washington, Robert De Niro",India,"September 11, 2020",2016,NR,147 min,"Documentaries, International Movies",A single father navigates the dangerous underbelly of futuristic Mumbai in this emotionally charged thriller where betrayal strikes from within and survival demands everything.
s188,Movie,Under Pressure 2,François Truffaut,"Daniel Kaluuya, Riz Ahmed, Ali Wong",Brazil,"December 5, 2022",2001,TV-MA,134 min,"Crime Movies, Thrillers",A journalist navigates the dangerous underbelly of futuristic Mumbai in this emotionally charged thriller where the truth comes to light and survival demands everything.
s189,Movie,The Comeback,Sofia Coppola,"Amitabh Bachchan, Michael Fassbender, Emma Stone",Italy,"April 2, 2019",2000,NR,106 min,"LGBTQ Movies, Dramas","Told across sweeping landscapes of the Arctic, this thought-provoking saga tracks a detective through loss, betrayal, and an unexpected battle for freedom."
